component_nature_id;property_key;property_value
'01932f00-0002-7000-8000-000000000001';'cooling_requirement';'high'
'01932f00-0002-7000-8000-000000000001';'noise_level';'medium'
'01932f00-0002-7000-8000-000000000001';'heat_output_btu';'2500'
'01932f00-0002-7000-8000-000000000001';'redundancy_recommended';'true'
'01932f00-0002-7000-8000-000000000001';'monitoring_interval_minutes';'5'
'01932f00-0002-7000-8000-000000000002';'installation_complexity';'low'
'01932f00-0002-7000-8000-000000000002';'environmental_resistance';'high'
'01932f00-0002-7000-8000-000000000002';'physical_security_level';'medium'
'01932f00-0002-7000-8000-000000000002';'documentation_required';'true'
'01932f00-0002-7000-8000-000000000003';'configuration_complexity';'high'
'01932f00-0002-7000-8000-000000000003';'power_redundancy';'optional'
'01932f00-0002-7000-8000-000000000003';'monitoring_interval_minutes';'15'
'01932f00-0002-7000-8000-000000000003';'cooling_requirement';'medium'
'01932f00-0002-7000-8000-000000000004';'sensor_type';'optical'
'01932f00-0002-7000-8000-000000000004';'reporting_interval_minutes';'30'
'01932f00-0002-7000-8000-000000000004';'battery_backup';'optional'
'01932f00-0002-7000-8000-000000000004';'calibration_interval_months';'12'
'01932f00-0002-7000-8000-000000000005';'bypass_mode_available';'true'
'01932f00-0002-7000-8000-000000000005';'battery_type';'lithium'
'01932f00-0002-7000-8000-000000000005';'runtime_minutes';'30'
'01932f00-0002-7000-8000-000000000005';'monitoring_interval_minutes';'1'
'01932f00-0002-7000-8000-000000000005';'noise_level';'high'
'01932f00-0002-7000-8000-000000000005';'heat_output_btu';'1500'
