component_status_id;to_status_code
'01932f00-0003-7000-8000-000000000001';'IN_STOCK'
'01932f00-0003-7000-8000-000000000001';'RESERVED'
'01932f00-0003-7000-8000-000000000002';'RESERVED'
'01932f00-0003-7000-8000-000000000002';'DEPLOYING'
'01932f00-0003-7000-8000-000000000002';'RETIRED'
'01932f00-0003-7000-8000-000000000003';'IN_STOCK'
'01932f00-0003-7000-8000-000000000003';'DEPLOYING'
'01932f00-0003-7000-8000-000000000004';'ACTIVE'
'01932f00-0003-7000-8000-000000000004';'FAILED'
'01932f00-0003-7000-8000-000000000005';'MAINTENANCE'
'01932f00-0003-7000-8000-000000000005';'DEGRADED'
'01932f00-0003-7000-8000-000000000005';'FAILED'
'01932f00-0003-7000-8000-000000000005';'DECOMMISSIONING'
'01932f00-0003-7000-8000-000000000006';'ACTIVE'
'01932f00-0003-7000-8000-000000000006';'DEGRADED'
'01932f00-0003-7000-8000-000000000006';'FAILED'
'01932f00-0003-7000-8000-000000000007';'ACTIVE'
'01932f00-0003-7000-8000-000000000007';'MAINTENANCE'
'01932f00-0003-7000-8000-000000000007';'FAILED'
'01932f00-0003-7000-8000-000000000008';'MAINTENANCE'
'01932f00-0003-7000-8000-000000000008';'DECOMMISSIONING'
'01932f00-0003-7000-8000-000000000008';'RETIRED'
'01932f00-0003-7000-8000-000000000009';'RETIRED'
